,title,link,description,is_full_link,is_pdf,haystack
112,           rura hosts government institutions to discuss nuclear safeguards implementation         ,https://rura.rw/index.php?id=95&tx_news_pi1%5Bnews%5D=1697&tx_news_pi1%5Bday%5D=22&tx_news_pi1%5Bmonth%5D=11&tx_news_pi1%5Byear%5D=2022&cHash=3114a7391a8b2521275ed7a234870177,,True,False,           rura hosts government institutions to discuss nuclear safeguards implementation          https://rura.rw/index.php?id=95&tx_news_pi1%5Bnews%5D=1697&tx_news_pi1%5Bday%5D=22&tx_news_pi1%5Bmonth%5D=11&tx_news_pi1%5Byear%5D=2022&cHash=3114a7391a8b2521275ed7a234870177
113,           an ai ethics primer for the rwandan ai ecosystem and consultation on ethical ai guidelines          ,https://rura.rw/index.php?id=95&tx_news_pi1%5Bnews%5D=1696&tx_news_pi1%5Bday%5D=21&tx_news_pi1%5Bmonth%5D=11&tx_news_pi1%5Byear%5D=2022&cHash=2bcaf2dbcf178d2fed28fb08b3183058,,True,False,           an ai ethics primer for the rwandan ai ecosystem and consultation on ethical ai guidelines           https://rura.rw/index.php?id=95&tx_news_pi1%5Bnews%5D=1696&tx_news_pi1%5Bday%5D=21&tx_news_pi1%5Bmonth%5D=11&tx_news_pi1%5Byear%5D=2022&cHash=2bcaf2dbcf178d2fed28fb08b3183058
114,           rura in partnership with iaea hosts a regional workshop on radiation protection officers and qualified experts         ,https://rura.rw/index.php?id=95&tx_news_pi1%5Bnews%5D=1691&tx_news_pi1%5Bday%5D=7&tx_news_pi1%5Bmonth%5D=11&tx_news_pi1%5Byear%5D=2022&cHash=b7e6c9903dbdaefe8f39ab8a03ff9a88,,True,False,           rura in partnership with iaea hosts a regional workshop on radiation protection officers and qualified experts          https://rura.rw/index.php?id=95&tx_news_pi1%5Bnews%5D=1691&tx_news_pi1%5Bday%5D=7&tx_news_pi1%5Bmonth%5D=11&tx_news_pi1%5Byear%5D=2022&cHash=b7e6c9903dbdaefe8f39ab8a03ff9a88
115,           rura and zambian energy regulator exchange experience on lpg regulation         ,https://rura.rw/index.php?id=95&tx_news_pi1%5Bnews%5D=1671&tx_news_pi1%5Bday%5D=23&tx_news_pi1%5Bmonth%5D=9&tx_news_pi1%5Byear%5D=2022&cHash=e0cbb1a8937231f8afa48064e0215e3e,,True,False,           rura and zambian energy regulator exchange experience on lpg regulation          https://rura.rw/index.php?id=95&tx_news_pi1%5Bnews%5D=1671&tx_news_pi1%5Bday%5D=23&tx_news_pi1%5Bmonth%5D=9&tx_news_pi1%5Byear%5D=2022&cHash=e0cbb1a8937231f8afa48064e0215e3e
116,           open call for the rwandan artificial intelligence ai  ecosystem  ai ethics applied programme and consultation         ,https://rura.rw/index.php?id=95&tx_news_pi1%5Bnews%5D=1653&tx_news_pi1%5Bday%5D=22&tx_news_pi1%5Bmonth%5D=8&tx_news_pi1%5Byear%5D=2022&cHash=cd34289aa0182cdb2eb51a976bb05208,,True,False,           open call for the rwandan artificial intelligence ai  ecosystem  ai ethics applied programme and consultation          https://rura.rw/index.php?id=95&tx_news_pi1%5Bnews%5D=1653&tx_news_pi1%5Bday%5D=22&tx_news_pi1%5Bmonth%5D=8&tx_news_pi1%5Byear%5D=2022&cHash=cd34289aa0182cdb2eb51a976bb05208
117,public notices,https://rura.rw/index.php?id=227,,True,False,public notices https://rura.rw/index.php?id=227
118,announcements,https://rura.rw/index.php?id=187,,True,False,announcements https://rura.rw/index.php?id=187
119,jobs,https://rura.rw/index.php?id=33,,True,False,jobs https://rura.rw/index.php?id=33
120,background,https://rura.rw/index.php?id=44,,True,False,background https://rura.rw/index.php?id=44
121,rura functions,https://rura.rw/index.php?id=45,,True,False,rura functions https://rura.rw/index.php?id=45
122,rura mission  vision and values,https://rura.rw/index.php?id=46,,True,False,rura mission  vision and values https://rura.rw/index.php?id=46
123,rura law and related orders,https://rura.rw/index.php?id=202,,True,False,rura law and related orders https://rura.rw/index.php?id=202
124,regional and international partnerships,https://rura.rw/index.php?id=47,,True,False,regional and international partnerships https://rura.rw/index.php?id=47
125,consumer affairs,https://rura.rw/index.php?id=262,,True,False,consumer affairs https://rura.rw/index.php?id=262
126,strategic plan 2022 2027,https://rura.rw/index.php?id=289,,True,False,strategic plan 2022 2027 https://rura.rw/index.php?id=289
127,service charter,https://rura.rw/index.php?id=150,,True,False,service charter https://rura.rw/index.php?id=150
128,faqs,https://rura.rw/index.php?id=103,,True,False,faqs https://rura.rw/index.php?id=103
129,overview,https://rura.rw/index.php?id=49,,True,False,overview https://rura.rw/index.php?id=49
130,sub sectors and services,https://rura.rw/index.php?id=159,,True,False,sub sectors and services https://rura.rw/index.php?id=159
131,regulatory instruments,https://rura.rw/index.php?id=160,,True,False,regulatory instruments https://rura.rw/index.php?id=160
132,statistics,https://rura.rw/index.php?id=60,,True,False,statistics https://rura.rw/index.php?id=60
133,sector reports,https://rura.rw/index.php?id=164,,True,False,sector reports https://rura.rw/index.php?id=164
134,faqs,https://rura.rw/index.php?id=222,,True,False,faqs https://rura.rw/index.php?id=222
135,overview,https://rura.rw/index.php?id=137,,True,False,overview https://rura.rw/index.php?id=137
136,sub sectors and services,https://rura.rw/index.php?id=173,,True,False,sub sectors and services https://rura.rw/index.php?id=173
137,regulatory instruments,https://rura.rw/index.php?id=174,,True,False,regulatory instruments https://rura.rw/index.php?id=174
138,statistics,https://rura.rw/index.php?id=71,,True,False,statistics https://rura.rw/index.php?id=71
139,faqs,https://rura.rw/index.php?id=223,,True,False,faqs https://rura.rw/index.php?id=223
140,overview,https://rura.rw/index.php?id=153,,True,False,overview https://rura.rw/index.php?id=153
141,sub sectors and services,https://rura.rw/index.php?id=165,,True,False,sub sectors and services https://rura.rw/index.php?id=165
142,regulatory instruments,https://rura.rw/index.php?id=169,,True,False,regulatory instruments https://rura.rw/index.php?id=169
143,statistics,https://rura.rw/index.php?id=78,,True,False,statistics https://rura.rw/index.php?id=78
144,faqs,https://rura.rw/index.php?id=224,,True,False,faqs https://rura.rw/index.php?id=224
145,overview,https://rura.rw/index.php?id=89,,True,False,overview https://rura.rw/index.php?id=89
146,sub sectors and services,https://rura.rw/index.php?id=178,,True,False,sub sectors and services https://rura.rw/index.php?id=178
147,regulatory instruments,https://rura.rw/index.php?id=179,,True,False,regulatory instruments https://rura.rw/index.php?id=179
148,sector  reports,https://rura.rw/index.php?id=185,,True,False,sector  reports https://rura.rw/index.php?id=185
149,statistics,https://rura.rw/index.php?id=86,,True,False,statistics https://rura.rw/index.php?id=86
150,faqs,https://rura.rw/index.php?id=88,,True,False,faqs https://rura.rw/index.php?id=88
151,home,https://www.rssb.rw/,,,,home https://www.rssb.rw/
152,schemes,https://www.rssb.rw/#schemes,,,,schemes https://www.rssb.rw/#schemes
153,investment,https://www.rssb.rw/investment,,,,investment https://www.rssb.rw/investment
154,management,https://www.rssb.rw/management,,,,management https://www.rssb.rw/management
155,about,https://www.rssb.rw/aboutus,,,,about https://www.rssb.rw/aboutus
156,careers,https://www.rssb.rw/careers,,,,careers https://www.rssb.rw/careers
157,news & events,https://www.rssb.rw/news,,,,news & events https://www.rssb.rw/news
158,Maternity LeaveEnjoy your maternity leave with your full salarylearn more,https://www.rssb.rw/scheme/maternity-leave,,,,Maternity LeaveEnjoy your maternity leave with your full salarylearn more https://www.rssb.rw/scheme/maternity-leave
159,"Medical SchemeOur Health, our Futurelearn more",https://www.rssb.rw/scheme/medical-scheme,,,,"Medical SchemeOur Health, our Futurelearn more https://www.rssb.rw/scheme/medical-scheme"
160,CBHI SchemeGiving you happiness at best ratelearn more,https://www.rssb.rw/scheme/cbhi-scheme,,,,CBHI SchemeGiving you happiness at best ratelearn more https://www.rssb.rw/scheme/cbhi-scheme
161,Pension SchemeRetire with dignitylearn more,https://www.rssb.rw/scheme/pension-scheme,,,,Pension SchemeRetire with dignitylearn more https://www.rssb.rw/scheme/pension-scheme
